PID,Trial,Condition,Measure,Response
50,5,Matched Hand,Agency,3.0
50,6,Mismatched Hand,Agency,2.0
50,7,Alien Hand,Agency,2.0
50,8,Matched Hand,Agency,2.0
50,9,Mismatched Hand,Agency,2.0
51,1,Matched Hand,Agency,2.0
51,2,Mismatched Hand,Agency,2.0
51,3,Alien Hand,Agency,2.0
51,4,Matched Hand,Agency,2.0
51,5,Mismatched Hand,Agency,2.0
51,6,Alien Hand,Agency,2.0
51,7,Matched Hand,Agency,2.0
51,8,Mismatched Hand,Agency,2.0
51,9,Alien Hand,Agency,2.0
52,1,Mismatched Hand,Agency,2.0
52,2,Matched Hand,Agency,2.0
52,3,Alien Hand,Agency,2.0
52,4,Mismatched Hand,Agency,2.0
52,5,Matched Hand,Agency,2.0
52,6,Alien Hand,Agency,2.0
52,7,Mismatched Hand,Agency,2.0
52,8,Matched Hand,Agency,2.0
52,9,Alien Hand,Agency,2.0
53,1,Alien Hand,Agency,3.0
53,2,Mismatched Hand,Agency,3.0
53,3,Matched Hand,Agency,2.0
53,4,Alien Hand,Agency,2.0
53,5,Mismatched Hand,Agency,2.0
53,6,Matched Hand,Agency,2.0
53,7,Alien Hand,Agency,0.0
53,8,Mismatched Hand,Agency,2.0
53,9,Matched Hand,Agency,1.0
54,1,Matched Hand,Agency,3.0
54,2,Alien Hand,Agency,1.0
54,3,Mismatched Hand,Agency,1.0
54,4,Matched Hand,Agency,1.0
54,5,Alien Hand,Agency,0.0
54,6,Mismatched Hand,Agency,1.0
54,7,Matched Hand,Agency,2.0
54,8,Alien Hand,Agency,0.0
54,9,Mismatched Hand,Agency,1.0
55,1,Matched Hand,Agency,2.0
55,2,Mismatched Hand,Agency,1.0
55,3,Alien Hand,Agency,-1.0
55,4,Matched Hand,Agency,1.0
55,5,Mismatched Hand,Agency,1.0
55,6,Alien Hand,Agency,1.0
55,7,Matched Hand,Agency,2.0
55,8,Mismatched Hand,Agency,2.0
55,9,Alien Hand,Agency,2.0
56,1,Matched Hand,Agency,3.0
56,2,Mismatched Hand,Agency,3.0
56,3,Alien Hand,Agency,3.0
56,4,Matched Hand,Agency,3.0
56,5,Mismatched Hand,Agency,3.0
56,6,Alien Hand,Agency,3.0
56,7,Matched Hand,Agency,3.0
56,8,Mismatched Hand,Agency,3.0
56,9,Alien Hand,Agency,3.0
57,1,Matched Hand,Agency,0.0
57,2,Alien Hand,Agency,0.0
57,3,Mismatched Hand,Agency,0.0
57,4,Matched Hand,Agency,0.0
57,5,Alien Hand,Agency,0.0
57,6,Mismatched Hand,Agency,0.0
57,7,Matched Hand,Agency,0.0
57,8,Alien Hand,Agency,0.0
57,9,Mismatched Hand,Agency,0.0
58,1,Alien Hand,Agency,2.0
58,2,Mismatched Hand,Agency,1.0
58,3,Matched Hand,Agency,1.0
58,4,Alien Hand,Agency,1.0
58,5,Mismatched Hand,Agency,1.0
58,6,Matched Hand,Agency,2.0
58,7,Alien Hand,Agency,1.0
58,8,Mismatched Hand,Agency,1.0
58,9,Matched Hand,Agency,2.0
59,1,Alien Hand,Agency,3.0
59,2,Mismatched Hand,Agency,2.0
59,3,Matched Hand,Agency,3.0
59,4,Alien Hand,Agency,2.0
59,5,Mismatched Hand,Agency,3.0
59,6,Matched Hand,Agency,3.0
